ambari,"9cbaab8dd2dd9538fba1510191b4e549add1d79e","AMBARI-9833. UI should get information about repos and packages for HostCheck from custom action. (akovalenko)"
ambari,"a2086b1fc88ccc85b9765a58d53f48f6c14d8ce1","AMBARI-6533 - Add API to get file log location in the task execution output, currently hardcoded in UI (Alejandro Fernandez via jonathanhurley)"
ambari,"f3aab68ec417d8e2c39c216962e1e1d47d56d401","AMBARI-6533. Add API to get file log location in the task execution output, currently hardcoded in UI. (Alejandro Fernandez via swagle)"
ambari,"d26f0c7b36b095ff2c9df4b6ebad500b4a4089d4","AMBARI-6263 API call to /hosts to get information about 10 hosts takes more than 30 seconds on 2K-node cluster (dsen)"
ambari,"59e3bd59591bc01397abe0d3a9f120bbc6f89fdd","Revert "AMBARI-6263 API call to /hosts to get information about 10 hosts takes more than 30 seconds on 2K-node cluster (dsen)""
ambari,"a17359c97c51263b51a15acc150e588db921d48a","AMBARI-6263 API call to /hosts to get information about 10 hosts takes more than 30 seconds on 2K-node cluster (dsen)"
ambari,"cd9f7d254739553c048cd337e6e930c2a071ec12","AMBARI-17786. Enable csrf protection and add superuser in livy (Jeff Zhang via smohanty)"
ant,"7c990891963350e2be9698e53b68f8d87e0c200e","PR: 32979 Modification to FileUtils to only accept : on the second position as absolute path for dos-like os."
ant,"05afdcffb350b727a1255320bb4512957fab5540","exclude jdepend test until dos problem with the test is sorted"
ant,"fb4cd3ac37d874fd135c07354824dd943b8c0652","Add mac, unix and dos as alternatives for <fixcrlf>'s eol option."
ant,"eb81bd4f4ea8ca269b8ba496e9b9a9a15b92ce2d","Make detection system for java|javac|javadoc fallback to *.exe instead of * on dos based systems."
ant,"b7e63f025a0447e5cbfbfc1d4c32bcf87fc1a1d1","Don't include the 'dos' OS family in the 'windows' OS family."
ant,"44a9c085a3b97f233ad50dc16b5ac62afbb5bf1b","Fixed coding system problem (dos-2-unix translation error)."
ant,"2ba8ddc0be9bccc241d9aef57ceaacc6b82a7b56","Adding a permission to read file.encoding in the default set of permissions"
ant,"1c3832c2f36797b7440228a66e5dea09e0f9803e","Added a testcase showing resolution of PR 14063 Ant ftp did not download file it is a symlink PR: 14063"
apex-core,"025cf8a2e9a00bb3692166154276b9c1f088a468","changed the timeout logic slightly to protect against integer overflow."
apex-core,"452fb31a588c5810a367f5adb46067257e171076","allocate new memory for the codec state as codec state and corresponding data can come in 2 separate reads which share the same location to store the read data."
apr,"c90987cea4a9c28cb766f39d58ba6c1f3df35f68","SECURITY: CVE-2010-1623 (cve.mitre.org) Fix a denial of service attack against apr_brigade_split_line()."
apr,"2e8fbff4ecf82d0decf6baf774c209948f2f4998","* test/teststr.c (overflow_strfsize): Iterate from LONG_MAX downwards,   avoiding signed integer overflow (undefined behaviour which gcc 8.1   turns into a non-terminating loop)."
apr,"c22a762292301ee0f39d8a83a38ec64e23611a7b","apr_password_get(): Fix the check for buffer overflow."
apr,"cb1b3f5ad4dc3f1d4efb7f1f4a590cf06ab974e2","More conservative buffer overflow checking code for apr_filepath_merge(): fail immediately if the sum of the rootpath and addpath lengths is too long, rather than letting long strings pass through and checking for overflow at multiple points throughout the merge code."
apr,"29e9d7581377573c2bba8c20b75b5ff4cd4f26dc","Rewrite ap_fprintf to be uniform on all platforms. This fixes a memory leak and potential buffer overflow."
apr,"796a010b755df224a41e3bcf85f6dfe5bbf605f6","a rewrite of ap_fprintf that fixes a potential buffer overflow, a memory leak, and more."
apr,"0d37decb737141839b3de1e45a07cb52d6f3a16a","DBD ODBC support: Fix memory corruption using apr_dbd_datum_get() with several different data types, including APR_DBD_TYPE_TIME."
